stage,group,bout,date,address,team_a,team_a_score,team_b,team_b_score,referee
第一阶段精英赛,精英赛 - A组,第一轮,2018/11/8 - 13:30,红运体育馆,四川女排,0,广东恒大,3,王 洪|李 浩
第一阶段精英赛,精英赛 - A组,第一轮,2018/11/8 - 16:00,红运体育馆,河南银鸽投资,0,八一南昌,3,王 子凌|孙 雷
第一阶段精英赛,精英赛 - A组,第一轮,2018/11/8 - 19:30,红运体育馆,天津渤海,3,辽宁营口鲅鱼圈,0,骆 文|褚 斌
第一阶段精英赛,精英赛 - B组,第一轮,2018/11/8 - 14:00,嘉定体育馆新馆,云南大学滇池学院,0,北京汽车,3,刘 江|孙 学斌
第一阶段精英赛,精英赛 - B组,第一轮,2018/11/8 - 16:00,嘉定体育馆新馆,河北女排,0,浙江嘉善西塘古镇,3,陶 维川|李 维萍
第一阶段精英赛,精英赛 - B组,第一轮,2018/11/8 - 19:30,嘉定体育馆新馆,上海光明优倍,3,江苏中天钢铁,2,王 峰|郭 亮
第二阶段排位赛,排位赛 - C组,第一轮,2018/11/24 - 16:00,张店区体育馆,山东体彩,3,北京汽车,1,李 维萍|黄 卫
第二阶段排位赛,排位赛 - C组,第一轮,2018/11/24 - 16:00,天津市人民体育馆,天津渤海,3,江苏中天钢铁,1,范 高翔|邹 靖
第二阶段排位赛,排位赛 - C组,第一轮,2018/11/24 - 16:00,上海卢湾体育馆,上海光明优倍,3,广东恒大,2,王 子凌|王 峰
第二阶段排位赛,排位赛 - C组,第一轮,2018/11/24 - 16:00,安溪梧桐体育馆,福建安溪铁观音,0,辽宁营口鲅鱼圈,3,孙 雷|孙 博
第二阶段排位赛,排位赛 - D组,第六轮,2018/12/18 - 19:30,嘉善县体育馆,浙江嘉善西塘古镇,3,四川女排,1,丁 毅|姚 鲆
第二阶段排位赛,排位赛 - D组,第六轮,2018/12/18 - 19:30,曲靖市文化体育公园体育馆,云南大学滇池学院,0,八一南昌,3,王 冬|路 毅
第二阶段排位赛,排位赛 - D组,第六轮,2018/12/18 - 19:30,石家庄学院体育馆,河北女排,0,河南银鸽投资,3,魏 杰|邓 雪震
第三阶段交叉赛,交叉赛 - E组,第一场,2019/2/12 - 19:30,天津市人民体育馆,天津渤海,3,江苏中天钢铁,1,王 浩娟|韩 东
第三阶段交叉赛,交叉赛 - F组,第一场,2019/2/12 - 20:00,北京汽车光彩体育馆,北京汽车,3,上海光明优倍,0,刘 江|王 峰
第四阶段决赛,决赛 - 1、2名决赛,第一场,2019/3/2 - 16:00,天津市人民体育馆,天津渤海,2,北京汽车,3,王 浩娟|韩 东
第四阶段决赛,决赛 - 3、4名决赛,第一场,2019/3/2 - 16:00,上海卢湾体育馆,上海光明优倍,3,江苏中天钢铁,0,骆 文|邱 明强
第一阶段精英赛,精英赛 - A组,第一轮,2018/11/8 - 13:30,红运体育馆,四川女排,0,广东恒大,3,王 洪|李 浩
第一阶段精英赛,精英赛 - A组,第一轮,2018/11/8 - 16:00,红运体育馆,河南银鸽投资,0,八一南昌,3,王 子凌|孙 雷
第一阶段精英赛,精英赛 - A组,第一轮,2018/11/8 - 19:30,红运体育馆,天津渤海,3,辽宁营口鲅鱼圈,0,骆 文|褚 斌
第一阶段精英赛,精英赛 - B组,第一轮,2018/11/8 - 14:00,嘉定体育馆新馆,云南大学滇池学院,0,北京汽车,3,刘 江|孙 学斌
第一阶段精英赛,精英赛 - B组,第一轮,2018/11/8 - 16:00,嘉定体育馆新馆,河北女排,0,浙江嘉善西塘古镇,3,陶 维川|李 维萍
第一阶段精英赛,精英赛 - B组,第一轮,2018/11/8 - 19:30,嘉定体育馆新馆,上海光明优倍,3,江苏中天钢铁,2,王 峰|郭 亮
第二阶段排位赛,排位赛 - C组,第一轮,2018/11/24 - 16:00,张店区体育馆,山东体彩,3,北京汽车,1,李 维萍|黄 卫
第二阶段排位赛,排位赛 - C组,第一轮,2018/11/24 - 16:00,天津市人民体育馆,天津渤海,3,江苏中天钢铁,1,范 高翔|邹 靖
第二阶段排位赛,排位赛 - C组,第一轮,2018/11/24 - 16:00,上海卢湾体育馆,上海光明优倍,3,广东恒大,2,王 子凌|王 峰
第二阶段排位赛,排位赛 - C组,第一轮,2018/11/24 - 16:00,安溪梧桐体育馆,福建安溪铁观音,0,辽宁营口鲅鱼圈,3,孙 雷|孙 博
第二阶段排位赛,排位赛 - D组,第六轮,2018/12/18 - 19:30,嘉善县体育馆,浙江嘉善西塘古镇,3,四川女排,1,丁 毅|姚 鲆
第二阶段排位赛,排位赛 - D组,第六轮,2018/12/18 - 19:30,曲靖市文化体育公园体育馆,云南大学滇池学院,0,八一南昌,3,王 冬|路 毅
第二阶段排位赛,排位赛 - D组,第六轮,2018/12/18 - 19:30,石家庄学院体育馆,河北女排,0,河南银鸽投资,3,魏 杰|邓 雪震
第三阶段交叉赛,交叉赛 - E组,第一场,2019/2/12 - 19:30,天津市人民体育馆,天津渤海,3,江苏中天钢铁,1,王 浩娟|韩 东
第三阶段交叉赛,交叉赛 - F组,第一场,2019/2/12 - 20:00,北京汽车光彩体育馆,北京汽车,3,上海光明优倍,0,刘 江|王 峰
第四阶段决赛,决赛 - 1、2名决赛,第一场,2019/3/2 - 16:00,天津市人民体育馆,天津渤海,2,北京汽车,3,王 浩娟|韩 东
第四阶段决赛,决赛 - 3、4名决赛,第一场,2019/3/2 - 16:00,上海卢湾体育馆,上海光明优倍,3,江苏中天钢铁,0,骆 文|邱 明强
