RankingTypeID,PointsTot_ForAllPlayerStats,SpikePerf,SpikePos,RecPos,RecPerf,PointsW_P,Libero,SpikeTot,RecTot,PlayedMatches,PlayedSet,SpikeWin_MatchWin,SpikeWin_MatchLose,BlockWin_MatchWin,BlockWin_MatchLose,ServeWin_MatchWin,ServeWin_MatchLose,RecEffPerc,RecWinPerc,ServeWinMatch,ServeWinSet,BlockWinSet,SpikerEff,SpikerPos,SpikerPerSet,PointsTot,MatchName,PointsPerMatch,PointsPerSet,PlayerSetData,PlayerMatchID,ChampionshipMatchID,ChampionshipID,TeamID,PlayerID,PlayedSets,Points,SideOut,ServeErr,ServeWin,ServeMinus,ServePlus,ServeHP,ServeEx,RecErr,RecWin,RecMinus,RecPlus,RecHP,RecEx,SpikeErr,SpikeWin,SpikeMinus,SpikePlus,SpikeHP,SpikeEx,BlockErr,BlockWin,BlockMinus,BlockPlus,BlockHP,BlockEx,PositionID,Captain,Number,Vote,Surname,Name,Team
0,48,47 %,50 %,70 %,59 %,33,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,281,4184,7,21,27,1,1,8,8,0,2,3,16,1,3,0,4,7,43,32,3,4,3,3,4,0,1,0,0,0,False,14,0,Bartsch,Michelle,北京汽车
0,19,41 %,45 %,0 %,0 %,15,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,281,4186,8,9,10,1,0,8,3,0,3,0,0,1,0,0,0,0,12,12,1,3,1,7,7,0,4,0,2,0,False,16,0,Dixon,Tetori,北京汽车
0,42,58 %,91 %,.,.,41,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,283,4189,9,14,28,1,0,17,9,0,5,0,0,0,0,0,0,0,38,4,21,0,2,6,4,0,0,0,1,0,False,9,0,Hooker,Destinee,天津渤海
0,13,33 %,36 %,.,.,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,285,4198,4,5,8,1,0,6,3,1,1,0,0,0,0,0,0,4,12,17,1,1,1,1,1,0,0,0,0,0,False,15,0,Kosheleva,Tatyana,广东恒大
0,38,50 %,72 %,65 %,57 %,26,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,278,2348,10,8,30,3,0,18,7,1,3,2,39,8,6,1,13,4,38,5,17,3,9,2,0,0,0,0,2,0,False,10,0,Larson,Jordan ,上海光明优倍
0,22,45 %,69 %,.,.,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,278,3315,4,7,15,1,1,4,7,0,1,0,0,0,0,0,0,5,19,5,10,1,2,2,2,0,0,0,1,0,False,11,0,Lippmann,Louisa,上海光明优倍
0,12,22 %,78 %,72 %,61 %,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,291,4232,4,3,9,0,1,9,1,0,2,4,11,1,2,0,0,3,10,0,25,4,3,0,1,0,0,0,0,0,False,17,0,Newcombe,Sonja Elizabeth,辽宁华君
0,36,44 %,47 %,67 %,56 %,21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,285,1882,8,17,19,4,3,15,1,0,3,4,24,7,5,0,3,3,32,30,2,4,2,3,1,0,2,0,0,0,False,5,0,Rabadzhieva,Dobriana Ivanova,广东恒大
0,11,45 %,55 %,.,.,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,281,2226,3,3,8,0,0,4,0,3,3,0,0,0,0,0,0,1,9,6,2,2,0,2,2,0,0,0,0,0,False,4,0,Rourke,Rachel,北京汽车
0,31,40 %,68 %,.,.,16,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,291,4218,6,8,23,3,3,7,1,1,2,0,0,0,0,0,0,5,24,3,17,7,4,0,4,0,0,0,2,0,False,18,0,ROVNAMAMMADOVA,NATALYA ALEKSAND,辽宁华君
0,5,100 %,100 %,100 %,100 %,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,291,1201,5,2,3,2,1,8,2,1,3,0,1,0,0,0,0,0,4,0,0,0,0,3,0,0,1,0,1,0,False,8,0,丁,霞,辽宁华君
0,0,.,.,.,.,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,281,4181,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,7,0,乔,琳,北京汽车
0,0,.,.,.,.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,283,998,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,4,0,于,鋆炜,天津渤海
0,1,10 %,50 %,.,.,-2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,278,1277,4,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,1,2,4,2,1,1,0,0,1,0,0,0,False,17,0,仲,慧,上海光明优倍
0,3,7 %,13 %,88 %,88 %,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,281,1073,6,2,1,0,1,5,2,0,0,0,7,1,0,0,0,2,1,10,1,1,0,1,1,0,0,0,0,0,False,1,0,任,凯懿,北京汽车
0,0,.,.,75 %,63 %,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,286,1761,6,0,0,0,0,0,0,0,0,0,25,8,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,18,0,倪,非凡,江苏中天钢铁
0,6,50 %,50 %,.,.,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,286,1027,6,4,2,0,3,21,6,1,5,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,1,0,False,6,0,刁,琳宇,江苏中天钢铁
0,10,47 %,47 %,73 %,60 %,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,281,1077,3,3,7,3,1,5,2,1,3,3,9,0,2,1,0,1,9,7,0,0,2,0,0,0,0,0,1,0,False,5,0,刘,晓彤,北京汽车
0,1,50 %,50 %,75 %,75 %,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,281,1086,2,0,1,0,0,2,1,0,0,0,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,False,12,0,刘,梦瑶,北京汽车
0,1,100 %,100 %,.,.,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,278,990,2,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,19,0,刘,泽宇,上海光明优倍
0,0,.,.,.,.,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,283,1003,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,10,0,刘,立雯,天津渤海
0,0,.,.,.,.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,280,1053,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,7,0,刘,韬晓瑜,八一南昌
0,2,.,.,.,.,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,278,988,9,1,1,0,0,9,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,False,16,0,卞,雨倩,上海光明优倍
0,42,36 %,79 %,100 %,0 %,31,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,280,1055,12,15,27,0,2,13,10,1,6,0,0,0,2,0,0,3,38,11,47,8,0,3,2,0,1,0,0,0,False,3,0,史,沛鑫,八一南昌
0,19,39 %,80 %,77 %,65 %,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,286,1021,6,7,12,3,2,13,2,0,1,3,20,2,4,2,0,5,17,0,18,3,1,4,0,0,0,0,5,0,False,12,0,吴,晗,江苏中天钢铁
0,6,50 %,63 %,.,.,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,280,818,12,2,4,2,1,12,3,0,14,0,0,0,0,0,0,2,4,1,1,0,0,6,1,0,4,0,0,0,False,2,0,周,妤婕,八一南昌
0,9,32 %,84 %,.,.,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,286,1028,6,3,6,4,0,6,3,0,2,0,0,0,0,0,0,1,6,1,10,1,0,5,3,0,2,0,3,0,False,3,0,周,馨忆,江苏中天钢铁
0,0,0 %,0 %,45 %,18 %,-6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,285,4197,4,0,0,2,0,4,1,0,0,1,2,5,3,0,0,1,0,8,0,2,0,0,0,0,0,0,1,0,False,12,0,奚,希,广东恒大
0,2,0 %,33 %,0 %,0 %,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,283,1009,10,2,0,2,1,22,7,2,2,0,0,1,0,0,0,0,0,1,1,0,1,4,1,0,2,0,4,0,False,16,0,姚,迪,天津渤海
0,0,.,.,.,.,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,291,1739,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,4,0,孙,小轩,辽宁华君
0,39,43 %,78 %,88 %,50 %,20,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,284,1239,10,13,26,1,1,12,9,1,8,1,4,0,3,0,0,7,36,1,29,10,0,1,2,0,2,0,0,0,False,19,0,孙,杰,山东体彩
0,1,.,.,.,.,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,291,1200,4,1,0,1,1,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,False,7,0,孙,海平,辽宁华君
0,0,.,.,56 %,44 %,-1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,283,1006,10,0,0,0,0,0,0,0,0,1,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,13,0,孟,子旋,天津渤海
0,0,.,.,67 %,45 %,-7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,284,1238,12,0,0,0,0,0,0,0,0,7,34,10,17,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,False,18,0,宋,欣瑜,山东体彩
0,39,31 %,78 %,70 %,47 %,23,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,284,1240,12,18,21,1,1,24,8,2,8,3,33,15,16,2,1,5,31,10,46,7,0,6,7,0,4,0,0,0,False,9,0,宋,立琪,山东体彩
0,20,47 %,92 %,63 %,50 %,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,284,1232,4,4,16,1,2,4,4,1,8,1,4,2,1,0,0,1,17,1,16,1,0,2,1,0,1,0,0,0,False,12,0,宋,美丽,山东体彩
0,0,.,.,81 %,70 %,-3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,291,1207,6,0,0,0,0,0,0,0,0,3,26,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,0,宫,美子,辽宁华君
0,18,43 %,80 %,100 %,0 %,11,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,280,1726,11,6,12,4,1,7,5,0,4,0,0,0,1,0,0,1,13,3,11,2,0,9,4,0,1,0,0,0,False,16,0,张,世琦,八一南昌
0,30,54 %,84 %,100 %,0 %,23,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,284,1237,12,14,16,2,3,22,6,0,13,0,0,0,1,0,0,2,20,1,11,3,0,11,7,0,7,0,0,0,False,3,0,张,倩,山东体彩
0,5,18 %,18 %,.,.,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,285,1135,6,2,3,3,0,13,5,0,1,0,0,0,0,0,0,0,2,8,0,1,0,1,3,0,1,0,0,0,False,18,0,张,凤媚,广东恒大
0,0,.,.,.,.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,281,1774,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,2,0,张,凯璐,北京汽车
0,14,31 %,31 %,.,.,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,281,1078,8,10,4,3,2,18,10,1,3,0,0,0,0,0,0,3,4,4,0,2,0,4,8,0,7,0,0,0,False,6,0,张,宇,北京汽车
0,39,42 %,81 %,80 %,60 %,24,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,286,1022,6,17,22,3,5,10,5,3,6,4,18,1,6,1,0,6,30,1,28,2,5,3,4,0,1,0,3,0,False,2,0,张,常宁,江苏中天钢铁
0,18,34 %,76 %,.,.,14,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,278,981,7,1,17,1,0,8,3,0,1,0,0,0,0,0,0,2,17,5,21,1,4,8,1,0,0,0,1,0,False,8,0,张,磊,上海光明优倍
0,1,10 %,30 %,43 %,29 %,-2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,278,979,2,0,1,0,0,0,0,0,1,1,2,3,1,0,0,1,1,2,2,1,3,1,0,0,0,0,0,0,False,5,0,张,轶婵,上海光明优倍
